Date,Open,High,Low,Close,Volume
01.01.2010 00:00:00.000,1.61669,1.61696,1.61487,1.61667,164116
02.01.2010 00:00:00.000,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 00:00:00.000,1.61667,1.61678,1.60993,1.61375,15253.8496
04.01.2010 00:00:00.000,1.6137,1.62415,1.60575,1.61125,202723.6875
05.01.2010 00:00:00.000,1.61125,1.6153,1.5965,1.59885,214131.2656
06.01.2010 00:00:00.000,1.59885,1.60635,1.5937,1.60205,238243.3438
07.01.2010 00:00:00.000,1.602,1.60585,1.5896,1.5932,212506.625
08.01.2010 00:00:00.000,1.5932,1.611,1.5915,1.60162,207586.0156
09.01.2010 00:00:00.000,1.60162,1.60162,1.60162,1.60162,0
10.01.2010 00:00:00.000,1.602,1.6097,1.60135,1.6087,29126.8008
11.01.2010 00:00:00.000,1.60855,1.61935,1.6063,1.611,248971.4063
12.01.2010 00:00:00.000,1.611,1.61945,1.60615,1.61495,223457.8906
13.01.2010 00:00:00.000,1.6151,1.6307,1.61365,1.6282,265826.9375
14.01.2010 00:00:00.000,1.62805,1.63465,1.62495,1.6333,220753.9063
15.01.2010 00:00:00.000,1.6333,1.63545,1.621,1.62603,209433.0469
16.01.2010 00:00:00.000,1.62603,1.62603,1.62603,1.62603,0
17.01.2010 00:00:00.000,1.62612,1.62885,1.62316,1.62875,19445.7793
18.01.2010 00:00:00.000,1.62875,1.6377,1.62495,1.63505,154731.4063
19.01.2010 00:00:00.000,1.635,1.64575,1.63115,1.63575,239918.9531
20.01.2010 00:00:00.000,1.63575,1.637,1.6243,1.63005,220539.4375
21.01.2010 00:00:00.000,1.63,1.63115,1.61245,1.6198,241280.9844
22.01.2010 00:00:00.000,1.6198,1.62835,1.6077,1.6103,227699.2969
23.01.2010 00:00:00.000,1.6103,1.6103,1.6103,1.6103,0
24.01.2010 00:00:00.000,1.61117,1.6136,1.60861,1.61145,15803.3301
25.01.2010 00:00:00.000,1.61135,1.6261,1.60945,1.62455,194534.6563
26.01.2010 00:00:00.000,1.62455,1.6268,1.6093,1.61425,229438.7656
27.01.2010 00:00:00.000,1.6142,1.6244,1.61065,1.61755,277980.2813
28.01.2010 00:00:00.000,1.61755,1.62755,1.6112,1.61415,224959.9531
29.01.2010 00:00:00.000,1.6141,1.6179,1.5977,1.5984,247524.1563
30.01.2010 00:00:00.000,1.5984,1.5984,1.5984,1.5984,0
31.01.2010 00:00:00.000,1.59966,1.59966,1.59355,1.5971,21229.2598
01.02.2010 00:00:00.000,1.59715,1.59785,1.58505,1.5944,268922.125
02.02.2010 00:00:00.000,1.5944,1.5995,1.5902,1.59885,265154.125
03.02.2010 00:00:00.000,1.59885,1.6069,1.5876,1.5914,240956.2031
04.02.2010 00:00:00.000,1.5913,1.59175,1.573,1.5766,232986.0938
05.02.2010 00:00:00.000,1.5766,1.5775,1.5558,1.56395,226003.5156
06.02.2010 00:00:00.000,1.56395,1.56395,1.56395,1.56395,0
07.02.2010 00:00:00.000,1.56365,1.56687,1.5578,1.55995,36843.6992
08.02.2010 00:00:00.000,1.56005,1.56595,1.55335,1.55725,253678.8125
09.02.2010 00:00:00.000,1.55715,1.57475,1.5561,1.5693,239591.0313
10.02.2010 00:00:00.000,1.56925,1.5765,1.55715,1.5607,237438.7969
11.02.2010 00:00:00.000,1.5607,1.57175,1.5559,1.5699,284424.2188
12.02.2010 00:00:00.000,1.5699,1.57405,1.558,1.56927,230024.0156
13.02.2010 00:00:00.000,1.56927,1.56927,1.56927,1.56927,0
14.02.2010 00:00:00.000,1.5704,1.57048,1.56435,1.5664,19766.0098
15.02.2010 00:00:00.000,1.56655,1.57205,1.5612,1.56645,118645.6172
16.02.2010 00:00:00.000,1.56635,1.5795,1.5627,1.5784,237595.7031
17.02.2010 00:00:00.000,1.5784,1.58155,1.56653,1.56785,262543.7188
18.02.2010 00:00:00.000,1.56785,1.5687,1.5404,1.54265,255742.5938
19.02.2010 00:00:00.000,1.54285,1.54765,1.53505,1.5475,251737.9063
20.02.2010 00:00:00.000,1.5475,1.5475,1.5475,1.5475,0
21.02.2010 00:00:00.000,1.54713,1.54868,1.54305,1.54685,15668.1504
22.02.2010 00:00:00.000,1.5469,1.55205,1.54475,1.55,247339.125
23.02.2010 00:00:00.000,1.54985,1.5575,1.5393,1.54425,334049.5
24.02.2010 00:00:00.000,1.5443,1.5476,1.53855,1.5413,271709
25.02.2010 00:00:00.000,1.54145,1.5422,1.5188,1.52385,253370.9844
26.02.2010 00:00:00.000,1.5239,1.53165,1.51515,1.52363,241006.4688
27.02.2010 00:00:00.000,1.52363,1.52363,1.52363,1.52363,0
28.02.2010 00:00:00.000,1.52455,1.52465,1.5128,1.51795,40262.25
01.03.2010 00:00:00.000,1.51795,1.5203,1.47805,1.49715,315565.7813
02.03.2010 00:00:00.000,1.49715,1.5031,1.4854,1.50215,313225.4063
03.03.2010 00:00:00.000,1.5022,1.51305,1.49755,1.51,238727.3906
04.03.2010 00:00:00.000,1.51005,1.51355,1.50055,1.50295,216771.5469
05.03.2010 00:00:00.000,1.50295,1.51665,1.4992,1.5137,175378.7656
06.03.2010 00:00:00.000,1.5137,1.5137,1.5137,1.5137,0
07.03.2010 00:00:00.000,1.51297,1.51665,1.51119,1.51415,37190.5
08.03.2010 00:00:00.000,1.5142,1.5196,1.50305,1.50415,286954.7813
09.03.2010 00:00:00.000,1.50415,1.5043,1.49355,1.50125,267668.25
10.03.2010 00:00:00.000,1.5012,1.50145,1.48725,1.4964,249280.8438
11.03.2010 00:00:00.000,1.49645,1.50865,1.4945,1.5065,208146.4375
12.03.2010 00:00:00.000,1.5065,1.5217,1.5026,1.51943,222371.3438
13.03.2010 00:00:00.000,1.51943,1.51943,1.51943,1.51943,0
14.03.2010 00:00:00.000,1.51913,1.52118,1.51564,1.5195,21329.75
15.03.2010 00:00:00.000,1.51955,1.5207,1.50185,1.50475,271487.1563
16.03.2010 00:00:00.000,1.50465,1.52595,1.49775,1.5234,309281.4375
17.03.2010 00:00:00.000,1.5234,1.53815,1.52085,1.5313,326833.6563
18.03.2010 00:00:00.000,1.5313,1.53275,1.52165,1.52495,233651.5469
19.03.2010 00:00:00.000,1.52515,1.52545,1.4988,1.5012,224264.7656
20.03.2010 00:00:00.000,1.5012,1.5012,1.5012,1.5012,0
21.03.2010 00:00:00.000,1.50155,1.50295,1.49737,1.49925,24850.9004
22.03.2010 00:00:00.000,1.49925,1.511,1.4931,1.51095,243188.5625
23.03.2010 00:00:00.000,1.5109,1.5112,1.49725,1.502,254425.3594
24.03.2010 00:00:00.000,1.502,1.50355,1.4853,1.4896,246339.9375
25.03.2010 00:00:00.000,1.4896,1.5002,1.47975,1.48465,215889.5469
26.03.2010 00:00:00.000,1.48465,1.49235,1.48105,1.4899,229453.7813
27.03.2010 00:00:00.000,1.4899,1.4899,1.4899,1.4899,0
28.03.2010 00:00:00.000,1.4899,1.49682,1.48883,1.49125,38678.3008
29.03.2010 00:00:00.000,1.49115,1.5019,1.48915,1.4989,254376.9063
30.03.2010 00:00:00.000,1.4989,1.51265,1.4974,1.50845,266180.5313
31.03.2010 00:00:00.000,1.50845,1.52035,1.5043,1.5194,284998.8438
01.04.2010 00:00:00.000,1.5194,1.5298,1.51795,1.52935,215155.0313
02.04.2010 00:00:00.000,1.52935,1.52935,1.51815,1.5198,65325.4688
03.04.2010 00:00:00.000,1.5198,1.5198,1.5198,1.5198,0
04.04.2010 00:00:00.000,1.5207,1.52942,1.51994,1.52555,45841.3281
05.04.2010 00:00:00.000,1.52555,1.5319,1.5223,1.5282,100520.9531
06.04.2010 00:00:00.000,1.5282,1.5282,1.5129,1.52355,225910.3281
07.04.2010 00:00:00.000,1.52355,1.5286,1.51375,1.5221,251664.5781
08.04.2010 00:00:00.000,1.52215,1.53035,1.51405,1.5296,258842.5938
09.04.2010 00:00:00.000,1.5296,1.5391,1.5267,1.5365,219270.75
10.04.2010 00:00:00.000,1.5365,1.5365,1.5365,1.5365,0
11.04.2010 00:00:00.000,1.53792,1.54665,1.53645,1.54345,44939.3398
12.04.2010 00:00:00.000,1.5435,1.5485,1.53525,1.5367,234721.7656
13.04.2010 00:00:00.000,1.53665,1.54485,1.53355,1.5378,253809.7188
14.04.2010 00:00:00.000,1.53775,1.54905,1.53765,1.5474,247471.625
15.04.2010 00:00:00.000,1.5474,1.55225,1.5385,1.5459,279175.4375
16.04.2010 00:00:00.000,1.54595,1.54735,1.5352,1.53592,232159.75
17.04.2010 00:00:00.000,1.53592,1.53592,1.53592,1.53592,0
18.04.2010 00:00:00.000,1.536,1.53602,1.52605,1.52845,14851.6699
19.04.2010 00:00:00.000,1.52845,1.53425,1.51915,1.5331,254834.5156
20.04.2010 00:00:00.000,1.53325,1.5432,1.5289,1.5363,255288.1875
